date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:40	17206/17206	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jul%202021%2009:19:03%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/dental-imaging-support1.jpg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/dental-imaging-support1.jpg	(from https://www.sotaimaging.com/)
09:41:40	179303/179303	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:04:00%20GMT	https://www.sotaimaging.com/cazoo/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/cazoo/index.html	(from https://www.sotaimaging.com/)
09:41:40	539/539	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Jul%202021%2005:38:54%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/dealer_icon.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/dealer_icon.png	(from https://www.sotaimaging.com/)
09:41:41	174607/174607	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:48:14%20GMT	https://www.sotaimaging.com/demo-by-mail/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/demo-by-mail/index.html	(from https://www.sotaimaging.com/)
09:41:41	426/426	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2009:15:17%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/05/mailbox_icon.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/05/mailbox_icon.png	(from https://www.sotaimaging.com/)
09:41:41	163045/163045	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:27:21%20GMT	https://www.sotaimaging.com/technical-support/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/technical-support/index.html	(from https://www.sotaimaging.com/)
09:41:42	167621/167621	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:04:03%20GMT	https://www.sotaimaging.com/drivers-and-downloads/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/drivers-and-downloads/index.html	(from https://www.sotaimaging.com/)
09:41:42	2142/2142	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2007:55:41%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/06/footer-logo.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/06/footer-logo.png	(from https://www.sotaimaging.com/)
09:41:42	146489/146489	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:04:03%20GMT	https://www.sotaimaging.com/about/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/about/index.html	(from https://www.sotaimaging.com/)
09:41:42	193394/193394	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:04:02%20GMT	https://www.sotaimaging.com/deals/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/deals/index.html	(from https://www.sotaimaging.com/)
09:41:42	159735/159735	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:04:02%20GMT	https://www.sotaimaging.com/product-training/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/product-training/index.html	(from https://www.sotaimaging.com/)
09:41:43	162149/162149	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2002:01:44%20GMT	https://www.sotaimaging.com/testimonials/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/testimonials/index.html	(from https://www.sotaimaging.com/)
09:41:43	7890/7890	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Sep%202021%2015:40:20%20GMT	https://www.sotaimaging.com/wp-content/plugins/wp-rocket/assets/js/lazyload/16.1/lazyload.min.js	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/plugins/wp-rocket/assets/js/lazyload/16.1/lazyload.min.js	(from https://www.sotaimaging.com/)
09:41:43	176080/176080	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2018:37:45%20GMT	https://www.sotaimaging.com/sota-success-stories/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/sota-success-stories/index.html	(from https://www.sotaimaging.com/)
09:41:44	144501/144501	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2017:37:08%20GMT	https://www.sotaimaging.com/contact/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/contact/index.html	(from https://www.sotaimaging.com/)
09:41:44	203455/203455	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2000:03:22%20GMT	https://www.sotaimaging.com/resource-library/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/resource-library/index.html	(from https://www.sotaimaging.com/)
